time, emcal, ihcal, ohcal
2023-05-16 02:00:00, 29.928851580974335, 0.03561146503943167, 0.031330645409843295
2023-05-19 03:00:00, 141.3536619560341, 0.05875361797951888, 0.033645851398833124
2023-05-19 10:00:00, 233.4041653936246, 0.10269413000398239, 0.055658807137622064
2023-05-19 11:00:00, 224.85298479792363, 0.0728062269105532, 0.03863257010291383
2023-05-20 00:00:00, 221.1702171434494, 0.06515875207284073, 0.03409515427117296
2023-05-20 01:00:00, 219.35341341715161, 0.06503685081466382, 0.0340792480193922
2023-05-20 02:00:00, 218.80409817608646, 0.06697896680532132, 0.03504854887581691
2023-05-21 09:00:00, 225.36524359780174, 0.06619686341640238, 0.03489211491767186
2023-05-21 10:00:00, 221.7780830844699, 0.06615388139611082, 0.03497010937560536
2023-05-21 11:00:00, 231.2251856921946, 0.06616135940913646, 0.03494436148934703
2023-05-22 00:00:00, 230.96863920212957, 0.06624384851298443, 0.035257273220608655
2023-05-22 01:00:00, 231.01067018401946, 0.0658210227833065, 0.0349262185022376
2023-05-22 02:00:00, 230.62937291487404, 0.06512128783654422, 0.03445834677710388
2023-05-22 03:00:00, 230.2770267550282, 0.06490573018929777, 0.03434773534136703
2023-05-22 04:00:00, 229.9142048971212, 0.06476674197659714, 0.034295823176325714
2023-05-22 05:00:00, 229.58830505361573, 0.0646540437063658, 0.034271596273364784
2023-05-22 06:00:00, 229.27620868116884, 0.0645479138377954, 0.03425222858466856
2023-05-22 07:00:00, 228.98178637742856, 0.06446153666842616, 0.03422650915592774
2023-05-22 08:00:00, 228.62494666103086, 0.06437778314580317, 0.03422006274788968
2023-05-22 09:00:00, 228.34193512270477, 0.06433086739184635, 0.034164790120448346
2023-05-22 10:00:00, 226.8252778909973, 0.06422056811488361, 0.03418220138405551
2023-05-22 11:00:00, 226.2051828117688, 0.06416772700462177, 0.03418144095658732
2023-05-23 00:00:00, 222.31125729007846, 0.06554562665766722, 0.034994298565174074
2023-05-23 01:00:00, 222.26519443563845, 0.06493890830535157, 0.03468897255751392
2023-05-23 02:00:00, 222.16357288065655, 0.06467229084627064, 0.034544665023221836
2023-05-23 03:00:00, 221.98748458956672, 0.06456724265738009, 0.03449313475610624
2023-05-23 04:00:00, 222.46837326208055, 0.0666988073988196, 0.03583931927023206
2023-05-23 05:00:00, 222.71144899314677, 0.06579539643890264, 0.03522378541109537
2023-05-23 06:00:00, 222.72094435135284, 0.06509195426033842, 0.034856730886391435
2023-05-23 07:00:00, 229.76985039928746, 0.09280884205324791, 0.054395847921848026
2023-05-23 08:00:00, 230.58838770385802, 0.06712268591694087, 0.03550528853114449
2023-05-23 09:00:00, 230.42366262598816, 0.06654744142052475, 0.03524923335166515
2023-05-23 10:00:00, 230.1336707274731, 0.06491600710662693, 0.03429924671078684
2023-05-23 11:00:00, 229.7368021275204, 0.06486652628218137, 0.034378023680946494
2023-05-24 00:00:00, 236.29844086184048, 0.06509780622464018, 0.03421063762584615
2023-05-24 01:00:00, 235.9850208355378, 0.06501580481608397, 0.03415270507220232
2023-05-24 02:00:00, 235.685523710187, 0.06495791541236595, 0.034142853989978544
2023-05-24 03:00:00, 235.61100567371597, 0.06489411913474331, 0.03417351156503487
2023-05-24 04:00:00, 235.32285433745753, 0.06483753978692064, 0.03415494854099438
2023-05-24 05:00:00, 235.0306005883273, 0.06478012178336456, 0.03418033032592376
2023-05-24 06:00:00, 234.76915280363693, 0.06472179025776703, 0.034126957270577615
2023-05-24 07:00:00, 234.53378328262414, 0.06466873535527845, 0.034151196782303814
2023-05-24 08:00:00, 234.28809154393028, 0.0645987817946543, 0.03413376651596639
2023-05-24 09:00:00, 234.0448628581808, 0.06445696108335881, 0.03415191859867492
2023-05-24 10:00:00, 233.80925921721183, 0.06484132747039423, 0.034175108123919426
2023-05-24 11:00:00, 233.58319810887588, 0.06478780566343292, 0.034181807571310015
2023-05-25 11:00:00, 229.47721592644854, 0.06192326506022601, 0.03404592400470848
2023-05-26 00:00:00, 227.87762246549454, 0.0622674692052631, 0.0340750356323765
2023-05-26 01:00:00, 228.48360606655294, 0.06214885862641784, 0.03407046666371663
2023-05-26 02:00:00, 228.32802701872578, 0.08025073037130764, 0.050779169129044816
2023-05-26 03:00:00, 228.22731181251544, 0.09067579020580245, 0.05953815876036435
2023-05-26 04:00:00, 228.05716265521687, 0.06350818438957641, 0.034147687974652396
2023-05-26 05:00:00, 227.89287033677059, 0.0635198010343941, 0.03413405045218108
2023-05-26 06:00:00, 227.6599150306021, 0.06332731572711715, 0.034168526047971666
2023-05-26 07:00:00, 227.7820817502485, 0.06338288828032652, 0.034610971837526344
2023-05-26 08:00:00, 228.05818985697672, 0.06372694262939609, 0.0351026889555759
2023-05-26 09:00:00, 228.19525142482473, 0.06319520069248928, 0.03467272580559546
2023-05-26 10:00:00, 228.09228144349652, 0.06251547231621997, 0.03434654262603819
2023-05-26 11:00:00, 227.92078101994716, 0.06221968927524474, 0.03430751381524468
2023-05-27 00:00:00, 229.71038679131118, 0.0648893171085612, 0.035498807142945565
2023-05-27 01:00:00, 229.9177887693929, 0.06419399315750643, 0.035050363247024784
2023-05-27 02:00:00, 229.97031472830716, 0.06382492757809724, 0.03477645214734274
2023-05-27 03:00:00, 230.37847442720775, 0.0655146299226945, 0.03552116931833503
2023-05-27 04:00:00, 230.65987012397258, 0.06498662423705112, 0.03524539665054898
2023-05-27 05:00:00, 231.15764913794408, 0.0653164024932183, 0.03542687441364013
2023-05-27 06:00:00, 231.268985241992, 0.06417024269995313, 0.03485069152750155
2023-05-27 07:00:00, 231.9075223134415, 0.06664873258895648, 0.03624306420219523
2023-05-27 08:00:00, 232.2238545025203, 0.0652234197271533, 0.03534614416522261
2023-05-27 09:00:00, 232.29551892385552, 0.0643266117717135, 0.03503173715524892
2023-05-27 10:00:00, 232.50546069660777, 0.06500040808936108, 0.03521245460814822
2023-05-27 11:00:00, 232.75432516436334, 0.06535146022783142, 0.03539350952547094
2023-05-28 00:00:00, 237.04458849885714, 0.06533759638335906, 0.03511585929981963
2023-05-28 01:00:00, 237.39835384405797, 0.06608227432992625, 0.03547986238318206
2023-05-28 02:00:00, 237.70053232015903, 0.06576672559685046, 0.035268844151510895
2023-05-28 03:00:00, 238.13857978487468, 0.0664701603951444, 0.03565675871012746
2023-05-28 04:00:00, 238.54266287876302, 0.06604013780340486, 0.0354033292841651
2023-05-28 05:00:00, 241.15855656862584, 0.06747068330900256, 0.036076476248412585
2023-05-28 06:00:00, 241.32692580229073, 0.06534635562399053, 0.03503438441193799
2023-05-28 07:00:00, 241.61724544533573, 0.06751361043124858, 0.03580749711985899
2023-05-28 08:00:00, 242.55510493304325, 0.06671987214504607, 0.03564767740705892
2023-05-28 09:00:00, 242.6343801726095, 0.06561275179062491, 0.035052590923557565
2023-05-28 10:00:00, 243.16691661269164, 0.06728892128663165, 0.03597753666888838
2023-05-28 11:00:00, 243.42467960960812, 0.06600546931131486, 0.0352328633146073
2023-05-29 00:00:00, 247.73042946990117, 0.06614837620897678, 0.035099905739990576
2023-05-29 01:00:00, 249.28323926681108, 0.06637248423637002, 0.03517648987561393
2023-05-29 02:00:00, 249.67863258073507, 0.06641762812940365, 0.035139003793953356
2023-05-29 03:00:00, 249.67371390266078, 0.06584969520258338, 0.03478176581608556
2023-05-29 04:00:00, 250.05647412540074, 0.06657593220143312, 0.03525035993261779
